r_bohr,r_angstrom,total_hartree,nuclear_repulsion_hartree,electronic_hartree,one_electron_hartree,two_electron_hartree,scf_iterations,n_ao,n_mo,minimum_overlap_eigenvalue,point_group,scf_seconds
0.15,0.0793765816005,4.711721627859006,6.666666666666667,-1.9549450388076606,-1.954945038807661,0.0,2,92,92,5.529487510989892e-08,d2h,0.10941962499964575
0.15184608736951133,0.08035348896535112,4.631600552508435,6.585615851704758,-1.9540152991963229,-1.9540152991963227,1.1102230246251565e-16,2,92,92,5.6619123583925265e-08,d2h,0.10427358400011144
0.15371489499619517,0.0813424193725185,4.552482516682999,6.505550421933751,-1.9530679052507525,-1.9530679052507527,0.0,2,92,92,5.79736489707559e-08,d2h,0.10059441600060381
0.15560670250391676,0.08234352079257917,4.474355815455274,6.426458397412726,-1.952102581957452,-1.9521025819574518,2.220446049250313e-16,2,92,92,5.935905277742903e-08,d2h,0.10110808299941709
0.15752179295794203,0.083356943017221,4.397208892226156,6.348327943848366,-1.9511190516222099,-1.9511190516222099,0.0,2,92,92,6.077594503905198e-08,d2h,0.10072258400032297
0.15946045290729166,0.0843828376816555,4.321030336907243,6.271147370824213,-1.9501170339169702,-1.9501170339169702,-1.1102230246251565e-16,2,92,92,6.222493621353299e-08,d2h,0.10130387499884819
0.16142297242761638,0.08542135828730636,4.245808884118745,6.194905130051483,-1.9490962459327381,-1.9490962459327377,2.220446049250313e-16,2,92,92,6.370664596204585e-08,d2h,0.10193141700074193
0.16340964516460038,0.08647266022477769,4.171533411401985,6.119589813641129,-1.9480564022391444,-1.9480564022391447,0.0,2,92,92,6.522169667525809e-08,d2h,0.101575499998944
0.16542076837789843,0.08753690079710444,4.098192937446566,6.0451901523969,-1.9469972149503345,-1.9469972149503343,-1.1102230246251565e-16,2,92,92,6.677071388300879e-08,d2h,0.10051124999881722
0.16745664298561375,0.08861423924328911,4.0257766203310945,5.97169501412918,-1.9459183937980855,-1.9459183937980855,2.220446049250313e-16,2,92,92,6.835432283088217e-08,d2h,0.10133008299999346
